#string_protein_id	preferred_name	protein_size	annotation
93061.SAOUHSC_00793	ABD29921.1	209	Conserved hypothetical protein.
93061.SAOUHSC_00794	ABD29922.1	337	Glycolytic operon regulator.
93061.SAOUHSC_00795	ABD29923.1	336	Glyceraldehyde-3-phosphate dehydrogenase, type I; Belongs to the glyceraldehyde-3-phosphate dehydrogenase family.
93061.SAOUHSC_00796	pgk	396	Phosphoglycerate kinase, putative; Belongs to the phosphoglycerate kinase family.
93061.SAOUHSC_00797	tpiA	253	Triosephosphate isomerase; Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D- glyceraldehyde-3-phosphate (G3P); Belongs to the triosephosphate isomerase family.
93061.SAOUHSC_00798	gpmI	505	Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent; Catalyzes the interconversion of 2-phosphoglycerate and 3- phosphoglycerate.
93061.SAOUHSC_00799	eno	434	Enolase; Catalyzes the reversible conversion of 2-phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis; Belongs to the enolase family.
93061.SAOUHSC_00800	ABD29928.1	152	Conserved hypothetical protein.
93061.SAOUHSC_00801	ABD29929.1	91	Preprotein translocase, SecG subunit; Subunit of the protein translocation channel SecYEG (By similarity). While not essential, it considerably increases the export efficiency of extracellular proteins; Belongs to the SecG family.
93061.SAOUHSC_00802	ABD29930.1	246	Carboxylesterase precursor, putative.
93061.SAOUHSC_00803	rnr	790	Ribonuclease R, putative; 3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs.
93061.SAOUHSC_00804	smpB	154	SsrA-binding protein; Required for rescue of stalled ribosomes mediated by trans- translation. Binds to transfer-messenger RNA (tmRNA), required for stable association of tmRNA with ribosomes. tmRNA and SmpB together mimic tRNA shape, replacing the anticodon stem-loop with SmpB. tmRNA is encoded by the ssrA gene; the 2 termini fold to resemble tRNA(Ala) and it encodes a 'tag peptide', a short internal open reading frame. During trans-translation Ala-aminoacylated tmRNA acts like a tRNA, entering the A-site of stalled ribosomes, displacing the stalled mRNA. The ribosome then switches to [...] 
93061.SAOUHSC_00805	ABD29933.1	93	Conserved hypothetical protein.
93061.SAOUHSC_00806	ABD29934.1	107	Conserved hypothetical protein.
93061.SAOUHSC_00807	ABD29935.1	48	Conserved hypothetical protein.
93061.SAOUHSC_00808	ABD29936.1	242	Conserved hypothetical protein.
93061.SAOUHSC_00809	ABD29937.1	51	Conserved hypothetical protein.
93061.SAOUHSC_00810	ABD29938.1	173	Conserved hypothetical protein.
93061.SAOUHSC_00811	ABD29939.1	176	Conserved hypothetical protein.
93061.SAOUHSC_00812	clfA	927	Clumping factor; Cell surface-associated protein implicated in virulence. Promotes bacterial attachment exclusively to the gamma-chain of human fibrinogen. Induces formation of bacterial clumps, which diminish the ability of group IIA phospholipase A2 to cause bacterial phospholipid hydrolysis and killing. Significantly decreases macrophage phagocytosis possibly thanks to the clumps, clumped bacteria being too large to be phagocytosed. Dominant factor responsible for human platelet aggregation, which may be an important mechanism for initiating infective endocarditis. Enhances spleen c [...] 
93061.SAOUHSC_00813	ABD29941.1	39	Truncated secreted von Willebrand factor-binding protein; Unverified frameshift.
93061.SAOUHSC_00814	ABD29942.1	450	Truncated secreted von Willebrand factor-binding protein (coagulase) VWbp, putative; Unverified frameshift.
93061.SAOUHSC_00816	emp	340	Extracellular matrix and plasma binding protein, putative; Adhesin that binds to the host cell extracellular matrix proteins fibronectin, fibrinogen, collagen, and vitronectin.
93061.SAOUHSC_00817	ABD29944.1	156	Conserved hypothetical protein.
93061.SAOUHSC_00818	ABD29945.1	228	Thermonuclease precursor.
93061.SAOUHSC_00819	ABD29946.1	66	Conserved hypothetical protein.
93061.SAOUHSC_00820	ABD29947.1	72	Conserved hypothetical protein.
93061.SAOUHSC_00821	ABD29948.1	94	Conserved hypothetical protein.
93061.SAOUHSC_00822	ABD29949.1	189	Conserved hypothetical protein.
93061.SAOUHSC_00823	ABD29950.1	62	Conserved hypothetical protein.
93061.SAOUHSC_00824	ABD29951.1	86	Conserved hypothetical protein.
93061.SAOUHSC_00825	ABD29952.1	67	Conserved hypothetical protein; Belongs to the UPF0346 family.
93061.SAOUHSC_00826	ABD29953.1	78	Conserved hypothetical protein.
93061.SAOUHSC_00827	ABD29954.1	186	Conserved hypothetical protein.
93061.SAOUHSC_00828	ABD29955.1	205	Conserved hypothetical protein.
93061.SAOUHSC_00830	ABD29956.1	164	Conserved hypothetical protein.
93061.SAOUHSC_00831	ABD29957.1	140	Conserved hypothetical protein; Belongs to the OsmC/Ohr family.
93061.SAOUHSC_00832	aroD	238	3-dehydroquinate dehydratase, type I; Involved in the third step of the chorismate pathway, which leads to the biosynthesis of aromatic amino acids. Catalyzes the cis- dehydration of 3-dehydroquinate (DHQ) and introduces the first double bond of the aromatic ring to yield 3-dehydroshikimate. Belongs to the type-I 3-dehydroquinase family.
93061.SAOUHSC_00833	ABD29959.1	179	Conserved hypothetical protein.
93061.SAOUHSC_00834	ABD29960.1	106	Thioredoxin, putative.
93061.SAOUHSC_00835	ABD29961.1	118	Conserved hypothetical protein; Belongs to the ArsC family.
93061.SAOUHSC_00836	gcvH	126	Glycine cleavage system H protein; The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein; Belongs to the GcvH family.
93061.SAOUHSC_00837	ABD29963.1	37	Conserved hypothetical protein.
93061.SAOUHSC_00838	ABD29964.1	292	Conserved hypothetical protein.
93061.SAOUHSC_00839	ABD29965.1	37	Conserved hypothetical protein.
93061.SAOUHSC_00840	ABD29966.1	128	Conserved hypothetical protein.
93061.SAOUHSC_00841	ABD29967.1	98	Conserved hypothetical protein.
93061.SAOUHSC_00842	metN2	341	ABC transporter, ATP-binding protein, putative; Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system.
93061.SAOUHSC_00843	ABD29969.1	231	Conserved hypothetical protein.
93061.SAOUHSC_00844	ABD29970.1	273	Conserved hypothetical protein; Belongs to the nlpA lipoprotein family.
93061.SAOUHSC_00845	ABD29971.1	64	Conserved hypothetical protein; Belongs to the UPF0337 (CsbD) family.
93061.SAOUHSC_00846	ABD29972.1	283	Conserved hypothetical protein.
93061.SAOUHSC_00847	ABD29973.1	253	ABC transporter, ATP-binding protein, putative.
93061.SAOUHSC_00848	ABD29974.1	435	Conserved hypothetical protein.
93061.SAOUHSC_00849	ABD29975.1	416	Aminotransferase, class V superfamily, putative; Belongs to the class-V pyridoxal-phosphate-dependent aminotransferase family.
93061.SAOUHSC_00850	ABD29976.1	154	Conserved hypothetical protein.
93061.SAOUHSC_00851	ABD29977.1	465	Conserved hypothetical protein; Belongs to the UPF0051 (ycf24) family.
93061.SAOUHSC_00852	ABD29978.1	45	Conserved hypothetical protein.
93061.SAOUHSC_00853	ABD29979.1	104	Conserved hypothetical protein.
93061.SAOUHSC_00854	ABD29980.1	346	Conserved hypothetical protein.
93061.SAOUHSC_00855	ABD29981.1	355	Conserved hypothetical protein; Nitronate monooxygenase that uses molecular oxygen to catalyze the oxidative denitrification of alkyl nitronates. Acts on propionate 3-nitronate (P3N), the presumed physiological substrate. Probably functions in the detoxification of P3N, a metabolic poison produced by plants and fungi as a defense mechanism.
93061.SAOUHSC_00857	ABD29982.1	32	Conserved hypothetical protein.
93061.SAOUHSC_00858	ABD29983.1	282	Conserved hypothetical protein.
93061.SAOUHSC_00859	ABD29984.1	275	Conserved hypothetical protein.
93061.SAOUHSC_00860	ABD29985.1	439	5-nucleotidase family protein; Belongs to the 5'-nucleotidase family.
93061.SAOUHSC_00861	lipA	305	Lipoic acid synthetase; Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives.
93061.SAOUHSC_00862	ABD29987.1	127	Conserved hypothetical protein.
93061.SAOUHSC_00863	ABD29988.1	88	Conserved hypothetical protein.
93061.SAOUHSC_00864	ABD29989.1	144	Conserved hypothetical protein.
93061.SAOUHSC_00865	nagD	259	Conserved hypothetical protein; Catalyzes the dephosphorylation of 2-6 carbon acid sugars in vitro.
93061.SAOUHSC_00866	ABD29991.1	294	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain protein.
93061.SAOUHSC_00867	ABD29992.1	36	Conserved hypothetical protein.
93061.SAOUHSC_00868	ABD29993.1	67	Conserved hypothetical protein.
93061.SAOUHSC_00869	dltA	485	D-alanine-activating enzyme; Catalyzes the first step in the D-alanylation of lipoteichoic acid (LTA), the activation of D-alanine and its transfer onto the D- alanyl carrier protein (Dcp) DltC. In an ATP-dependent two-step reaction, forms a high energy D-alanyl-AMP intermediate, followed by transfer of the D-alanyl residue as a thiol ester to the phosphopantheinyl prosthetic group of the Dcp. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall. Belongs to the ATP-dependent AMP [...] 
93061.SAOUHSC_00870	ABD29995.1	404	dltB protein, putative; Could be involved in the transport of activated D-alanine through the membrane.
93061.SAOUHSC_00871	dltC	78	D-alanyl carrier protein; Carrier protein involved in the D-alanylation of lipoteichoic acid (LTA). The loading of thioester-linked D-alanine onto DltC is catalyzed by D-alanine--D-alanyl carrier protein ligase DltA. The DltC- carried D-alanyl group is further transferred to cell membrane phosphatidylglycerol (PG) by forming an ester bond, probably catalyzed by DltD. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall.
93061.SAOUHSC_00872	dltD	391	Extramembranal protein; Involved in the D-alanylation of lipoteichoic acid (LTA). Could be responsible for the transfer of DltC-carried D-alanyl groups to cell membrane phosphatidylglycerol (PG), or alternatively of D- alanine residues from D-Ala-undecaprenol phosphate to the poly(glycerophosphate) chains of LTA. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram- positive bacteria, influencing the net charge of the cell wall.
93061.SAOUHSC_00873	ABD29998.1	80	Conserved hypothetical protein.
93061.SAOUHSC_00874	ABD29999.1	107	Conserved hypothetical protein.
93061.SAOUHSC_00875	ABD30000.1	354	Conserved hypothetical protein.
93061.SAOUHSC_00876	ABD30001.1	78	Conserved hypothetical protein; Belongs to the UPF0349 family.
93061.SAOUHSC_00877	ABD30002.1	119	Conserved hypothetical protein; Belongs to the HesB/IscA family.
93061.SAOUHSC_00878	ABD30003.1	402	Conserved hypothetical protein.
93061.SAOUHSC_00879	ABD30004.1	491	Probable cytosol aminopeptidase; Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N- terminal amino acids from various peptides. Belongs to the peptidase M17 family.
93061.SAOUHSC_00880	ABD30005.1	438	Conserved hypothetical protein.
93061.SAOUHSC_00881	ABD30006.1	124	Conserved hypothetical protein.
93061.SAOUHSC_00882	ABD30007.1	384	Conserved hypothetical protein.
93061.SAOUHSC_00883	mnhG1	118	Monovalent cation/proton antiporter, MnhG/PhaG subunit subfamily, putative; Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion.
93061.SAOUHSC_00884	mnhF1	97	Multiple resistance and pH regulation protein F (MrpF / PhaF) family, putative; Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion.
93061.SAOUHSC_00885	mnhE1	159	Conserved hypothetical protein; Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion.
93061.SAOUHSC_00886	mnhD1	498	Na+/H+ antiporter, MnhD component, putative; Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion.
93061.SAOUHSC_00887	mnhC1	109	Na+/H+ antiporter subunit, putative; Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion.
93061.SAOUHSC_00888	mnhB1	142	Monovalent cation:proton antiporter subfamily, putative; Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion.
93061.SAOUHSC_00889	mnhA1	801	Na+/H+ antiporter subunit, putative; Mnh complex is a Na(+)/H(+) antiporter involved in Na(+) excretion.
93061.SAOUHSC_00890	ABD30015.1	127	Conserved hypothetical protein.
93061.SAOUHSC_00891	ABD30016.1	197	Peptidyl-prolyl cis-trans isomerase, cyclophilin-type, putative; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity); Belongs to the cyclophilin-type PPIase family.
93061.SAOUHSC_00892	ABD30017.1	114	Conserved hypothetical protein.
93061.SAOUHSC_00893	ABD30018.1	375	FMN oxidoreductase, putative.
93061.SAOUHSC_00894	rocD-2	396	Ornithine aminotransferase, putative; Catalyzes the interconversion of ornithine to glutamate semialdehyde.
93061.SAOUHSC_00895	ABD30020.1	414	Glutamate dehydrogenase, NAD-specific, putative; Belongs to the Glu/Leu/Phe/Val dehydrogenases family.
93061.SAOUHSC_00896	ABD30021.1	63	Conserved hypothetical protein.
93061.SAOUHSC_00897	ABD30022.1	309	Conserved hypothetical protein.
93061.SAOUHSC_00898	argH	459	Argininosuccinate lyase.
93061.SAOUHSC_00899	argG	401	Argininosuccinate synthase; Belongs to the argininosuccinate synthase family. Type 1 subfamily.
93061.SAOUHSC_00900	pgi	443	Glucose-6-phosphate isomerase.
93061.SAOUHSC_00901	ABD30026.1	191	Conserved hypothetical protein.
93061.SAOUHSC_00902	ABD30027.1	174	Signal peptidase IA, putative; Belongs to the peptidase S26 family.
93061.SAOUHSC_00903	ABD30028.1	155	Signal peptidase IB, putative; Belongs to the peptidase S26 family.
93061.SAOUHSC_00904	addB	1158	Exonuclease RexB, putative; The heterodimer acts as both an ATP-dependent DNA helicase and an ATP-dependent, dual-direction single-stranded exonuclease. Recognizes the chi site generating a DNA molecule suitable for the initiation of homologous recombination. The AddB nuclease domain is not required for chi fragment generation; this subunit has 5' -> 3' nuclease activity.
93061.SAOUHSC_00905	addA	1217	ATP-dependent nuclease subunit A, putative; The heterodimer acts as both an ATP-dependent DNA helicase and an ATP-dependent, dual-direction single-stranded exonuclease. Recognizes the chi site generating a DNA molecule suitable for the initiation of homologous recombination. The AddA nuclease domain is required for chi fragment generation; this subunit has the helicase and 3' -> 5' nuclease activities; Belongs to the helicase family. AddA subfamily.
93061.SAOUHSC_00906	ABD30031.1	300	Conserved hypothetical protein; Belongs to the FAH family.
93061.SAOUHSC_00907	ABD30032.1	129	Conserved hypothetical protein.
93061.SAOUHSC_00908	cdr	438	Coenzyme A disulfide reductase, putative; Catalyzes specifically the NADPH-dependent reduction of coenzyme A disulfide. Is also active with other disulfide substrates containing at least one 4'-phosphopantethienyl moiety such as 4,4'- diphosphopantethine, but is not able to reduce oxidized glutathione, cystine, pantethine, or H(2)O(2); Belongs to the class-III pyridine nucleotide-disulfide oxidoreductase family.
93061.SAOUHSC_00909	ABD30034.1	274	Conserved hypothetical protein.
93061.SAOUHSC_00910	ABD30035.1	88	Conserved hypothetical protein.
93061.SAOUHSC_00911	ABD30036.1	604	Conserved hypothetical protein.
93061.SAOUHSC_00912	clpB	869	ATP-dependent Clp protease, ATP-binding subunit ClpB; Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE; Belongs to the ClpA/ClpB family.
93061.SAOUHSC_00913	ABD30038.1	289	Conserved hypothetical protein; Belongs to the LysR transcriptional regulatory family.
93061.SAOUHSC_00914	ABD30039.1	381	2-isopropylmalate synthase, putative; Belongs to the alpha-IPM synthase/homocitrate synthase family.
93061.SAOUHSC_00915	ABD30040.1	213	Conserved hypothetical protein; Belongs to the SUA5 family.
93061.SAOUHSC_00916	ABD30041.1	372	Conserved hypothetical protein.
93061.SAOUHSC_00917	ABD30042.1	171	Conserved hypothetical protein.
93061.SAOUHSC_00918	ABD30043.1	144	Truncated MHC class II analog protein.
93061.SAOUHSC_00919	ABD30044.1	61	Conserved hypothetical protein.
93061.SAOUHSC_00920	fabH	313	Conserved hypothetical protein; Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched-chain and/or straight-chain of fatty acids; Belongs to the thiolase-like superfamily. FabH family.
93061.SAOUHSC_00921	ABD30046.1	414	3-oxoacyl- synthase, putative; Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP.
93061.SAOUHSC_00922	ABD30047.1	123	Conserved hypothetical protein.
93061.SAOUHSC_00923	ABD30048.1	308	Conserved hypothetical protein.
93061.SAOUHSC_00924	ABD30049.1	356	Conserved hypothetical protein.
93061.SAOUHSC_00925	ABD30050.1	360	Conserved hypothetical protein; Belongs to the ABC transporter superfamily.
93061.SAOUHSC_00926	ABD30051.1	313	Oligopeptide ABC transporter, ATP-binding protein, putative; Belongs to the ABC transporter superfamily.
93061.SAOUHSC_00927	ABD30052.1	551	Oligopeptide ABC transporter, substrate-binding protein, putative.
93061.SAOUHSC_00928	ABD30053.1	571	Oligopeptide ABC transporter, substrate-binding protein, putative.
93061.SAOUHSC_00929	ABD30054.1	328	Oligopeptide ABC transporter, ATP-binding protein, putative; Belongs to the ABC transporter superfamily.
93061.SAOUHSC_00930	ABD30055.1	326	Oligopeptide ABC transporter, ATP-binding protein, putative; Belongs to the ABC transporter superfamily.
93061.SAOUHSC_00931	ABD30056.1	320	Oligopeptide ABC transporter, permease protein, putative.
93061.SAOUHSC_00932	ABD30057.1	293	Oligopeptide ABC transporter, permease protein, putative.
93061.SAOUHSC_00933	trpS	329	tryptophanyl-tRNA synthetase; Catalyzes the attachment of tryptophan to tRNA(Trp). Belongs to the class-I aminoacyl-tRNA synthetase family.
93061.SAOUHSC_00934	spxA	131	Conserved hypothetical protein; Interferes with activator-stimulated transcription by interaction with the RNA polymerase alpha-CTD. May function to globally reduce transcription of genes involved in growth- and development- promoting processes and to increase transcription of genes involved in thiol homeostasis, during periods of extreme stress. Belongs to the ArsC family. Spx subfamily.
93061.SAOUHSC_00935	mecA	239	Conserved hypothetical protein; Enables the recognition and targeting of unfolded and aggregated proteins to the ClpC protease or to other proteins involved in proteolysis.
93061.SAOUHSC_00936	ABD30061.1	328	Conserved hypothetical protein.
93061.SAOUHSC_00937	ABD30062.1	602	Oligoendopeptidase F.
93061.SAOUHSC_00938	ABD30063.1	268	Conserved hypothetical protein.
93061.SAOUHSC_00939	ABD30064.1	105	Conserved hypothetical protein.
93061.SAOUHSC_00940	ABD30065.1	197	Conserved hypothetical protein.
93061.SAOUHSC_00941	ABD30066.1	115	Conserved hypothetical protein; Belongs to the UPF0738 family.
93061.SAOUHSC_00942	ABD30067.1	211	GTP pyrophosphokinase, putative.
93061.SAOUHSC_00943	nadK	269	ATP-NAD kinase, putative; Involved in the regulation of the intracellular balance of NAD and NADP, and is a key enzyme in the biosynthesis of NADP. Catalyzes specifically the phosphorylation on 2'-hydroxyl of the adenosine moiety of NAD to yield NADP.
93061.SAOUHSC_00944	ABD30069.1	284	Conserved hypothetical protein.
93061.SAOUHSC_00945	ABD30070.1	461	Magnesium transporter; Acts as a magnesium transporter.
93061.SAOUHSC_00946	ABD30071.1	614	Conserved hypothetical protein; Belongs to the monovalent cation:proton antiporter 2 (CPA2) transporter (TC 2.A.37) family.
93061.SAOUHSC_00947	fabI	256	Enoyl-(acyl-carrier-protein) reductase; Catalyzes the reduction of a carbon-carbon double bond in an enoyl moiety that is covalently linked to an acyl carrier protein (ACP). It has a preference for a long chain (C12) substrate compared to the shorter (C4) acyl group. Involved in the elongation cycle of fatty acid which are used in the lipid metabolism (By similarity).
93061.SAOUHSC_00948	ABD30073.1	361	Conserved hypothetical protein.
93061.SAOUHSC_00949	ABD30074.1	522	Conserved hypothetical protein.
93061.SAOUHSC_00950	ABD30075.1	252	Conserved hypothetical protein.
93061.SAOUHSC_00951	ABD30076.1	169	Conserved hypothetical protein; Belongs to the 2H phosphoesterase superfamily. YjcG family.
93061.SAOUHSC_00952	ltaA	402	Conserved hypothetical protein; Probable permease that is required for glycolipid anchoring of LTA. May facilitate the transport of diglucosyl-diacylglycerol (Glc2-DAG) from the inner to the outer leaflet of the cytoplasmic membrane, delivering Glc2-DAG as a substrate for LTA synthesis, thereby generating glycolipid-anchored LTA. Appears to play an important role in virulence; Belongs to the major facilitator superfamily. LtaA family.
93061.SAOUHSC_00953	ugtP	391	Conserved hypothetical protein; Processive glucosyltransferase involved in the biosynthesis of both the bilayer- and non-bilayer-forming membrane glucolipids. Is able to successively transfer two glucosyl residues to diacylglycerol (DAG), thereby catalyzing the formation of beta-monoglucosyl-DAG (3-O- (beta-D-glucopyranosyl)-1,2-diacyl-sn-glycerol) and beta-diglucosyl-DAG (3-O-(beta-D-glucopyranosyl-beta-(1->6)-D-glucopyranosyl)-1,2-diacyl- sn-glycerol). Beta-diglucosyl-DAG is the predominant glycolipid found in Bacillales and is also used as a membrane anchor for lipoteichoic acid (LT [...] 
93061.SAOUHSC_00954	murE	493	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase; Catalyzes the addition of L-lysine to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan. Cannot use diaminopimelate as substrate. Seems to have a role in beta-lactam antibiotic resistance.
93061.SAOUHSC_00955	ABD30080.1	86	Conserved hypothetical protein.
93061.SAOUHSC_00956	prfC	520	Peptide chain release factor 3; Increases the formation of ribosomal termination complexes and stimulates activities of RF-1 and RF-2. It binds guanine nucleotides and has strong preference for UGA stop codons. It may interact directly with the ribosome. The stimulation of RF-1 and RF-2 is significantly reduced by GTP and GDP, but not by GMP. Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. PrfC subfamily.
93061.SAOUHSC_00957	ABD30082.1	267	Conserved hypothetical protein.
93061.SAOUHSC_00958	ABD30083.1	774	Serine protease HtrA, putative.
93061.SAOUHSC_00959	ABD30084.1	452	Conserved hypothetical protein.
93061.SAOUHSC_00960	ABD30085.1	503	Conserved hypothetical protein; Belongs to the 5'-nucleotidase family.
93061.SAOUHSC_00961	ABD30086.1	176	Conserved hypothetical protein.
93061.SAOUHSC_00962	ABD30087.1	72	Conserved hypothetical protein.
93061.SAOUHSC_00963	ABD30088.1	328	Lipoyltransferase and lipoate-protein ligase, putative.
93061.SAOUHSC_00964	ABD30089.1	58	Conserved hypothetical protein.
93061.SAOUHSC_00965	ABD30090.1	200	Conserved hypothetical protein.
93061.SAOUHSC_00966	ABD30091.1	35	Conserved hypothetical protein.
93061.SAOUHSC_00967	ABD30092.1	33	Hypothetical protein.
93061.SAOUHSC_00968	ABD30093.1	654	Conserved hypothetical protein.
93061.SAOUHSC_00969	ABD30094.1	106	Conserved hypothetical protein.
93061.SAOUHSC_00970	ABD30095.1	213	ABC transporter, ATP-binding protein, putative.
93061.SAOUHSC_00971	ABD30096.1	96	Conserved hypothetical protein.
93061.SAOUHSC_00972	ABD30097.1	95	Conserved hypothetical protein.
93061.SAOUHSC_00973	ABD30098.1	235	Conserved hypothetical protein.
93061.SAOUHSC_00974	ABD30099.1	260	Glycosyl transferase, group 1.
93061.SAOUHSC_00975	ABD30100.1	118	Conserved hypothetical protein.
93061.SAOUHSC_00976	ABD30101.1	287	Conserved hypothetical protein.
93061.SAOUHSC_00977	ABD30102.1	43	Conserved hypothetical protein.
93061.SAOUHSC_00978	ABD30103.1	96	Conserved hypothetical protein.
93061.SAOUHSC_00979	ABD30104.1	183	Conserved hypothetical protein.
93061.SAOUHSC_00980	menA	312	Conserved hypothetical protein; Conversion of 1,4-dihydroxy-2-naphthoate (DHNA) to demethylmenaquinone (DMK); Belongs to the MenA family. Type 1 subfamily.
93061.SAOUHSC_00981	ABD30106.1	34	Conserved hypothetical protein.
93061.SAOUHSC_00982	ABD30107.1	403	Conserved hypothetical protein.
93061.SAOUHSC_00983	menD	557	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase; Catalyzes the thiamine diphosphate-dependent decarboxylation of 2-oxoglutarate and the subsequent addition of the resulting succinic semialdehyde-thiamine pyrophosphate anion to isochorismate to yield 2- succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate (SEPHCHC).
93061.SAOUHSC_00984	menH	267	Conserved hypothetical protein; Catalyzes a proton abstraction reaction that results in 2,5- elimination of pyruvate from 2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate (SEPHCHC) and the formation of 2-succinyl-6- hydroxy-2,4-cyclohexadiene-1-carboxylate (SHCHC).
93061.SAOUHSC_00985	menB	273	enoyl-CoA hydratase/isomerase family protein, putative; Converts o-succinylbenzoyl-CoA (OSB-CoA) to 1,4-dihydroxy-2- naphthoyl-CoA (DHNA-CoA).
93061.SAOUHSC_00986	sspC	109	Cysteine protease, putative; Specifically inhibits the cysteine protease staphopain B (SspB) by blocking the active site of the enzyme. Probably required to protect cytoplasmic proteins from being degraded by prematurely activated/folded prostaphopain B. Also involved in growth capacity, viability and bacterial morphology; Belongs to the protease inhibitor I57 (SspC) family.
93061.SAOUHSC_00987	sspB	393	Cysteine protease precursor, putative; Cysteine protease that plays an important role in the inhibition of host innate immune response. Degrades host elastin, fibrogen, fibronectin and kininogen. Blocks phagocytosis of opsonised S. aureus by neutrophils and monocytes by inducing their death in a proteolytic activity-dependent manner. Decreases surface expression of the 'don't eat me' signal CD31 on neutrophils. Cleaves host galectin- 3/LGALS3, thereby inhibiting the neutrophil-activating ability of the lectin.
93061.SAOUHSC_00988	sspA	336	Glutamyl endopeptidase precursor, putative; Preferentially cleaves peptide bonds on the carboxyl-terminal side of aspartate and glutamate. Along with other extracellular proteases it is involved in colonization and infection of human tissues. Required for proteolytic maturation of thiol protease SspB and inactivation of SspC, an inhibitor of SspB. It is the most important protease for degradation of fibronectin-binding protein (FnBP) and surface protein A, which are involved in adherence to host cells. May also protect bacteria against host defense mechanism by cleaving the immunoglobu [...] 
93061.SAOUHSC_00989	ABD30114.1	384	Conserved hypothetical protein.
93061.SAOUHSC_00991	ABD30115.1	336	Conserved hypothetical protein.
93061.SAOUHSC_00992	ABD30116.1	139	Transcriptional regulator, MarR family, putative.
93061.SAOUHSC_00993	ABD30117.1	36	Conserved hypothetical protein.
93061.SAOUHSC_00994	atl	1256	Bifunctional autolysin precursor, putative; Endohydrolysis of the di-N-acetylchitobiosyl unit in high- mannose glycopeptides and glycoproteins containing the -[(Man)5(GlcNAc)2]-Asn structure. One N-acetyl-D-glucosamine residue remains attached to the protein; the rest of the oligosaccharide is released intact. Cleaves the peptidoglycan connecting the daughter cells at the end of the cell division cycle, resulting in the separation of the two newly divided cells. Acts as an autolysin in penicillin-induced lysis (By similarity); In the C-terminal section; belongs to the glycosyl hydrolas [...] 
93061.SAOUHSC_00995	ABD30119.1	144	Conserved hypothetical protein; Could catalyze the transfer of an acetyl group from acetyl coenzyme A (AcCoA) to an acceptor substrate and release both CoA and the acetylated product.
93061.SAOUHSC_00996	ABD30120.1	156	Conserved hypothetical protein.
93061.SAOUHSC_00997	ABD30121.1	405	Conserved hypothetical protein; Belongs to the LytR/CpsA/Psr (LCP) family.
93061.SAOUHSC_00998	fmtA	397	Fmt protein, putative; Catalyzes the liberation of D-alanyl moieties present on wall teichoic acid (WTA) and lipoteichoic acid (LTA) (By similarity). Affects the methicillin resistance level and autolysis in the presence of Triton X-100 as well as the cell wall structure.
93061.SAOUHSC_00999	qoxD	92	Quinol oxidase, subunit IV, putative; Catalyzes quinol oxidation with the concomitant reduction of oxygen to water.
